Job profession,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist
Computer programmer,20,6,7,17,9,12,13,6
Computer programmer,19,5,8,18,5,12,12,7
Computer programmer,18,6,9,19,6,12,12,8
Computer programmer,17,5,10,20,7,12,11,9
Computer programmer,19,6,8,15,8,12,11,10
Computer programmer,20,5,9,16,9,12,12,5
Computer programmer,18,6,10,17,5,12,13,6
Computer programmer,17,5,5,18,6,12,14,7
Computer programmer,15,6,6,19,7,12,14,8
Computer programmer,20,5,7,20,8,12,13,9
Computer programmer,19,6,8,15,9,12,12,10
Computer programmer,18,5,9,16,5,12,12,5
Computer programmer,17,6,10,17,6,12,11,6
Computer programmer,16,5,8,18,7,11,11,7
Computer programmer,15,6,9,19,8,11,12,8
Computer programmer,19,5,10,20,9,11,13,9
Computer programmer,18,6,5,15,5,11,14,10
Computer programmer,17,5,6,16,6,11,14,5
Computer programmer,16,6,7,17,7,11,13,6
Computer programmer,15,5,8,18,8,11,12,7
Computer programmer,19,6,9,19,9,11,12,8
Computer programmer,18,5,10,20,5,11,11,9
Computer programmer,17,6,8,15,6,11,11,10
Computer programmer,16,5,9,16,7,11,12,5
Computer programmer,15,6,10,17,8,11,13,6
Computer programmer,19,5,5,18,9,13,14,7
Computer programmer,18,6,6,19,5,13,14,8
Computer programmer,17,5,7,20,6,13,13,9
Computer programmer,16,6,8,15,7,13,12,10
Computer programmer,15,5,9,16,8,13,12,5
Computer programmer,19,6,10,17,9,13,11,6
Computer programmer,18,5,6,18,5,13,11,7
Computer programmer,17,6,7,19,6,13,11,8
Computer programmer,16,5,8,20,7,13,11,9
Computer programmer,15,6,9,16,8,13,11,8
Computer programmer,19,7,10,17,9,13,11,9
Database designer,13,5,9,15,9,15,6,14
Database designer,12,6,9,15,9,16,6,14
Database designer,12,7,9,16,9,17,6,14
Database designer,12,8,9,16,9,20,6,14
Database designer,12,9,9,17,9,15,6,14
Database designer,12,10,9,17,9,17,6,14
Database designer,12,5,9,18,9,16,6,14
Database designer,12,6,9,18,9,15,6,14
Database designer,12,7,9,19,9,16,6,14
Database designer,12,8,9,19,9,17,9,14
Database designer,12,9,8,20,9,20,8,14
Database designer,12,10,8,20,9,15,8,14
Database designer,12,5,8,15,9,17,8,14
Database designer,12,6,8,15,9,16,8,14
Database designer,12,7,8,16,9,15,8,14
Database designer,11,8,6,16,9,16,6,14
Database designer,11,9,6,17,9,17,6,14
Database designer,11,10,6,17,8,20,6,14
Database designer,11,5,6,18,8,15,6,14
Database designer,11,6,6,18,8,17,6,14
Database designer,11,7,6,19,8,16,6,14
Database designer,11,8,6,19,8,15,6,14
Database designer,11,9,6,20,8,16,6,14
Database designer,11,10,5,20,8,17,5,14
Database designer,11,5,5,15,8,20,5,14
Database designer,11,6,5,15,8,15,5,14
Database designer,11,7,5,16,8,17,9,14
Database designer,13,8,5,16,8,16,8,14
Database designer,13,9,5,17,8,16,8,14
Database designer,13,10,10,17,8,15,8,14
Database designer,13,5,10,18,8,16,8,14
Database designer,13,6,10,18,8,17,8,14
Database designer,13,7,10,19,8,20,6,14
Database designer,13,8,10,19,8,15,6,14
Database designer,13,9,10,20,8,17,6,14
Database designer,13,10,10,20,8,16,6,14
Database designer,13,5,10,15,8,16,6,14
Database designer,13,6,5,15,8,15,6,14
Database designer,11,7,5,16,8,16,6,14
Database designer,12,8,6,16,8,17,6,14
Database designer,13,9,6,17,8,20,5,14
Database designer,14,10,7,17,7,15,5,14
Database designer,14,5,7,18,7,16,5,14
Database designer,13,6,5,18,7,15,6,14
Database designer,12,7,5,19,7,16,7,14
Database designer,11,8,6,19,7,17,5,14
Database designer,14,9,6,20,7,20,5,14
Database designer,13,10,7,20,7,15,5,14
Database designer,12,10,7,15,7,17,6,14
Database designer,11,9,6,16,7,16,7,14
Economist,14,13,5,15,7,16,16,8
Economist,12,12,6,15,5,20,15,9
Economist,11,11,7,15,6,19,16,10
Economist,13,11,8,15,7,15,17,5
Economist,12,13,9,15,5,17,20,6
Economist,11,13,10,15,5,16,16,7
Economist,11,12,5,15,6,20,15,8
Economist,13,11,6,15,7,19,16,9
Economist,12,11,7,15,5,15,17,10
Economist,14,13,8,15,5,17,20,5
Economist,14,13,9,15,6,16,16,6
Economist,12,12,10,15,7,20,15,7
Economist,11,11,5,15,5,19,16,8
Economist,13,11,6,15,5,15,17,9
Economist,12,13,7,16,6,17,20,10
Economist,11,13,8,16,7,16,16,5
Economist,11,12,9,17,5,20,15,6
Economist,13,11,10,17,5,19,16,7
Economist,12,11,5,18,6,15,17,8
Economist,14,13,6,18,7,17,16,9
Economist,14,13,7,15,5,16,15,10
Economist,12,12,8,15,5,20,16,5
Economist,11,11,9,16,6,19,17,6
Economist,13,11,10,16,7,15,20,7
Economist,12,13,5,17,5,17,16,8
Economist,11,13,6,17,5,16,15,9
Economist,11,12,7,18,6,20,16,10
Economist,13,11,8,18,7,19,17,5
Economist,12,11,9,15,5,15,20,6
Economist,14,13,10,15,5,17,16,7
Economist,14,13,5,16,6,16,15,8
Economist,12,12,6,16,7,20,16,9
Economist,11,11,7,17,5,19,17,10
Economist,13,11,8,17,5,15,20,5
Economist,12,13,9,18,6,17,16,6
Economist,11,13,10,18,7,16,15,7
Economist,11,12,5,15,5,20,16,8
Economist,13,11,6,15,5,19,17,9
Economist,12,11,7,16,6,15,20,10
Economist,14,13,8,16,7,17,16,5
Economist,14,13,9,17,5,16,15,6
Economist,12,12,10,17,5,20,16,7
Economist,11,11,5,18,6,19,17,8
Economist,13,11,6,18,7,15,20,9
Economist,12,13,7,16,5,17,16,10
Economist,11,13,8,17,5,16,15,5
Economist,11,12,9,17,6,20,16,6
Economist,13,11,10,18,7,19,17,7
Economist,12,11,5,18,5,15,20,10
Economist,14,13,7,19,7,17,17,8
Librarian,11,5,16,20,12,13,17,6
Librarian,12,5,20,19,11,13,17,5
Librarian,13,6,19,15,11,13,17,6
Librarian,14,5,15,17,13,13,17,6
Librarian,13,5,17,16,13,13,17,7
Librarian,12,5,16,20,12,13,17,8
Librarian,11,6,20,19,12,13,17,6
Librarian,11,5,19,15,11,13,17,9
Librarian,12,7,15,17,11,13,17,6
Librarian,13,9,17,16,13,13,17,10
Librarian,14,10,16,20,13,13,17,6
Librarian,13,5,20,19,12,13,17,6
Librarian,12,6,19,15,12,13,17,6
Librarian,11,5,15,17,11,13,17,6
Librarian,11,7,17,16,11,13,17,6
Librarian,12,9,16,20,13,13,17,6
Librarian,13,10,20,19,13,13,17,6
Librarian,14,5,19,15,12,13,17,6
Librarian,13,5,15,17,12,13,17,6
Librarian,12,6,17,16,11,13,17,6
Librarian,11,5,16,20,11,14,17,10
Librarian,11,7,20,19,13,14,17,10
Librarian,12,9,19,15,13,14,17,10
Librarian,13,10,15,17,12,14,16,10
Librarian,14,7,17,16,12,14,16,10
Librarian,13,7,16,20,11,14,16,10
Librarian,12,6,20,19,11,14,16,10
Librarian,11,5,19,15,13,14,16,10
Librarian,13,7,15,17,13,14,16,10
Librarian,11,9,17,16,12,14,16,10
Librarian,12,10,16,20,12,14,16,10
Librarian,13,7,20,19,11,14,16,10
Librarian,14,6,19,15,11,14,16,10
Librarian,13,5,15,17,13,14,16,10
Librarian,12,7,17,16,13,14,16,10
Librarian,11,9,16,20,12,14,16,10
Librarian,13,10,20,19,12,12,16,10
Librarian,11,9,19,15,11,12,16,10
Librarian,12,6,15,17,11,12,16,10
Librarian,13,5,17,16,13,12,16,8
Librarian,14,7,16,20,13,12,16,8
Librarian,13,9,20,19,12,12,16,8
Librarian,12,10,19,15,12,12,18,8
Librarian,11,7,15,17,11,12,18,8
Librarian,12,9,17,16,11,12,18,8
Librarian,13,10,16,20,13,12,18,8
Librarian,14,9,20,19,13,12,18,8
Librarian,13,9,19,15,12,12,18,8
Librarian,12,7,15,17,11,12,18,8
Librarian,11,7,17,16,11,12,18,8
Engineer,11,5,6,18,19,12,18,7
Engineer,12,5,6,17,19,12,19,0
Engineer,13,5,6,15,19,12,17,8
Engineer,14,5,6,19,19,12,15,8
Engineer,13,5,6,20,19,12,20,8
Engineer,12,5,6,18,19,12,20,8
Engineer,11,5,6,19,19,12,20,8
Engineer,11,6,5,17,19,12,20,8
Engineer,12,6,5,15,19,12,18,8
Engineer,13,6,5,18,19,12,19,8
Engineer,14,6,5,17,19,12,17,8
Engineer,13,6,5,15,19,12,15,8
Engineer,12,6,5,19,19,12,20,8
Engineer,11,6,5,20,19,12,20,8
Engineer,11,7,8,18,19,12,20,8
Engineer,12,7,8,19,19,12,20,8
Engineer,13,7,8,17,19,13,20,8
Engineer,14,7,8,15,19,14,20,8
Engineer,13,7,8,18,19,11,20,8
Engineer,12,7,8,17,19,12,18,8
Engineer,11,7,8,15,19,13,19,8
Engineer,11,7,8,19,19,14,17,7
Engineer,12,5,7,20,19,11,15,7
Engineer,13,6,7,18,19,12,20,7
Engineer,14,7,7,19,19,13,20,7
Engineer,13,8,7,17,20,14,20,7
Engineer,12,9,7,15,20,11,18,6
Engineer,11,10,7,18,20,12,19,7
Engineer,11,5,7,17,20,13,17,8
Engineer,12,6,7,15,20,14,15,9
Engineer,13,7,7,19,20,11,20,10
Engineer,14,8,7,20,20,12,20,5
Engineer,13,9,7,18,20,13,20,7
Engineer,12,10,8,19,20,14,20,7
Engineer,11,5,8,17,20,11,20,7
Engineer,11,6,8,15,20,12,20,7
Engineer,12,7,8,18,20,13,20,7
Engineer,13,8,8,17,20,14,18,7
Engineer,14,9,8,15,20,11,19,7
Engineer,13,10,8,19,20,12,17,7
Engineer,12,5,8,20,20,13,15,6
Engineer,11,6,9,18,20,14,20,7
Engineer,11,7,9,19,20,11,20,8
Engineer,12,8,9,17,16,12,20,9
Engineer,13,9,9,15,16,13,20,10
Engineer,14,10,9,16,16,14,20,5
Engineer,11,7,9,18,16,11,20,7
Engineer,12,8,9,19,16,13,20,9
Engineer,13,9,5,17,16,14,20,9
Engineer,14,10,7,15,16,11,20,9
Lawyer,20,5,14,19,7,17,16,5
Lawyer,19,5,14,19,7,17,16,5
Lawyer,18,5,13,19,7,17,16,5
Lawyer,17,5,13,19,7,17,16,6
Lawyer,16,5,11,19,7,17,16,7
Lawyer,15,5,12,19,7,17,16,8
Lawyer,20,5,14,19,7,17,16,9
Lawyer,19,5,14,19,7,17,16,10
Lawyer,18,5,13,19,7,17,16,5
Lawyer,17,5,13,19,6,17,16,5
Lawyer,16,5,11,19,7,17,16,5
Lawyer,15,5,12,19,8,17,16,5
Lawyer,20,5,14,19,9,17,16,6
Lawyer,19,5,14,19,10,17,16,7
Lawyer,18,5,13,19,5,17,16,8
Lawyer,17,5,13,19,7,17,16,9
Lawyer,16,5,11,19,8,16,16,10
Lawyer,15,5,12,19,8,16,16,5
Lawyer,20,5,14,19,8,16,16,7
Lawyer,19,5,14,19,8,16,16,7
Lawyer,18,5,13,19,8,16,16,7
Lawyer,17,6,13,19,8,16,16,7
Lawyer,16,6,11,19,8,16,16,7
Lawyer,15,6,12,19,6,16,16,7
Lawyer,20,6,14,19,7,16,16,7
Lawyer,19,6,14,19,8,16,16,7
Lawyer,18,6,13,19,9,16,16,7
Lawyer,17,6,13,19,10,16,16,7
Lawyer,16,6,11,19,5,16,16,7
Lawyer,15,6,12,19,8,16,16,7
Lawyer,20,6,14,19,8,16,16,7
Lawyer,19,6,14,19,8,16,16,8
Lawyer,18,6,13,19,8,15,16,8
Lawyer,17,6,13,19,6,15,16,8
Lawyer,16,6,11,19,7,15,16,8
Lawyer,15,6,12,19,8,15,16,8
Lawyer,20,6,14,19,9,15,16,8
Lawyer,19,6,14,19,10,15,16,8
Lawyer,18,7,13,19,5,15,16,8
Lawyer,17,8,13,19,9,15,16,8
Lawyer,16,9,11,19,9,15,16,8
Lawyer,15,10,12,19,9,15,16,8
Lawyer,20,5,14,19,9,15,16,8
Lawyer,19,6,14,19,9,15,16,8
Lawyer,18,7,13,19,9,19,16,6
Lawyer,17,7,13,19,9,19,16,7
Lawyer,16,7,11,19,9,19,16,8
Lawyer,15,7,12,19,9,19,16,9
Lawyer,16,7,12,19,9,19,16,10
Lawyer,17,7,12,19,9,19,16,5
Pharmacist,11,6,16,11,7,20,12,20
Pharmacist,14,7,15,11,6,19,12,19
Pharmacist,13,8,20,11,7,20,12,18
Pharmacist,11,9,19,12,8,19,12,17
Pharmacist,12,10,18,12,9,20,12,16
Pharmacist,13,6,17,13,10,19,12,15
Pharmacist,14,7,16,13,5,20,12,16
Pharmacist,12,8,15,11,7,19,12,17
Pharmacist,12,9,20,11,7,20,12,18
Pharmacist,11,10,19,11,7,19,12,19
Pharmacist,14,6,18,12,7,20,12,20
Pharmacist,13,7,17,12,7,19,12,20
Pharmacist,11,8,16,13,7,20,12,19
Pharmacist,12,9,15,13,7,19,12,18
Pharmacist,13,10,20,11,6,20,12,17
Pharmacist,14,6,19,11,6,19,12,16
Pharmacist,12,7,18,11,6,20,12,15
Pharmacist,12,8,17,12,7,19,12,16
Pharmacist,11,9,16,12,8,20,12,17
Pharmacist,14,10,15,13,9,19,12,18
Pharmacist,13,6,20,13,10,20,12,19
Pharmacist,11,7,19,11,5,19,13,20
Pharmacist,12,8,18,11,6,20,13,20
Pharmacist,13,9,17,11,6,19,13,19
Pharmacist,14,10,16,12,6,20,13,18
Pharmacist,12,6,15,12,5,19,13,17
Pharmacist,12,7,20,13,5,20,13,16
Pharmacist,11,8,19,13,5,19,13,15
Pharmacist,14,9,18,11,5,20,13,16
Pharmacist,13,10,17,11,5,19,13,17
Pharmacist,11,6,16,11,5,20,13,18
Pharmacist,12,7,15,12,5,19,13,19
Pharmacist,13,8,20,12,5,20,13,20
Pharmacist,14,9,19,13,5,19,13,20
Pharmacist,12,10,18,13,5,20,13,19
Pharmacist,12,6,17,11,5,19,14,18
Pharmacist,11,7,16,11,5,20,14,17
Pharmacist,14,8,15,11,5,19,14,16
Pharmacist,13,9,20,12,5,20,14,15
Pharmacist,11,10,19,12,5,19,14,16
Pharmacist,12,6,18,13,5,20,14,17
Pharmacist,13,7,17,13,5,19,14,18
Pharmacist,14,8,16,11,6,20,14,19
Pharmacist,12,9,15,11,7,19,14,20
Pharmacist,12,10,20,11,8,20,14,15
Pharmacist,11,6,19,12,9,19,14,16
Pharmacist,12,7,18,12,10,20,14,17
Pharmacist,13,8,17,13,5,19,14,18
Pharmacist,14,9,19,13,9,16,14,19
Pharmacist,12,10,15,14,9,17,14,16
Physician,12,6,18,20,5,20,11,11
Physician,13,7,18,19,6,19,12,12
Physician,14,8,18,18,7,20,13,13
Physician,11,9,18,17,8,19,14,14
Physician,12,10,18,16,9,20,12,11
Physician,13,5,18,15,5,19,11,12
Physician,14,7,18,20,6,20,12,13
Physician,11,8,18,19,7,19,13,14
Physician,12,9,18,18,8,20,14,11
Physician,13,10,18,17,9,19,11,12
Physician,14,5,18,16,5,20,12,13
Physician,11,5,18,15,6,19,13,14
Physician,12,5,18,20,7,20,14,11
Physician,13,5,18,19,8,19,12,12
Physician,14,5,18,18,9,20,11,13
Physician,11,6,18,17,5,19,12,14
Physician,12,7,18,16,6,20,13,11
Physician,13,8,18,15,7,19,14,12
Physician,14,9,18,20,8,20,11,13
Physician,11,10,18,19,9,19,12,14
Physician,12,5,18,18,5,20,13,11
Physician,13,5,17,17,6,19,14,12
Physician,14,5,17,16,7,20,12,13
Physician,11,5,17,15,8,19,11,14
Physician,12,5,17,20,9,20,12,11
Physician,13,5,17,19,5,19,13,12
Physician,14,6,17,18,6,20,14,13
Physician,11,7,17,17,7,19,11,14
Physician,12,8,17,16,8,20,12,11
Physician,13,9,17,15,9,19,13,12
Physician,14,10,17,20,5,20,14,13
Physician,11,5,17,19,6,19,12,14
Physician,12,5,17,18,7,20,11,11
Physician,13,5,17,17,8,19,12,12
Physician,14,5,17,16,9,20,13,13
Physician,11,5,17,15,5,19,14,14
Physician,12,5,17,20,6,20,11,11
Physician,13,5,17,19,7,19,12,12
Physician,14,5,16,18,8,20,13,13
Physician,11,5,16,17,9,19,14,14
Physician,12,5,16,16,5,20,12,11
Physician,13,5,16,15,6,19,11,12
Physician,14,5,16,20,7,20,12,13
Physician,11,6,16,19,8,19,13,14
Physician,12,7,16,18,9,20,14,11
Physician,13,8,16,17,5,19,12,12
Physician,14,9,16,16,6,20,11,13
Physician,11,10,16,15,7,19,12,14
Physician,13,5,16,17,8,16,13,12
Physician,14,5,16,18,9,17,14,13
Physicist,12,18,11,19,5,11,19,7
Physicist,13,19,11,19,6,11,18,6
Physicist,11,18,11,18,7,11,17,7
Physicist,14,17,11,17,8,11,16,8
Physicist,11,16,11,16,9,11,15,9
Physicist,13,19,11,19,5,11,19,10
Physicist,14,18,11,18,6,11,18,5
Physicist,13,17,11,17,7,11,17,7
Physicist,12,16,11,16,8,11,16,6
Physicist,13,19,11,19,9,11,15,7
Physicist,11,18,11,18,5,12,19,8
Physicist,14,17,11,17,6,13,18,9
Physicist,11,16,11,16,7,11,17,10
Physicist,13,19,11,19,8,14,16,5
Physicist,14,18,11,19,9,11,15,7
Physicist,13,17,11,18,5,13,19,7
Physicist,12,16,11,17,6,14,18,7
Physicist,13,19,11,16,7,13,17,7
Physicist,11,18,11,19,8,12,16,8
Physicist,14,17,11,18,9,13,15,6
Physicist,11,16,11,17,5,12,19,7
Physicist,13,19,11,16,6,12,18,8
Physicist,14,18,14,19,7,12,17,9
Physicist,13,17,14,19,8,12,16,10
Physicist,12,16,14,18,9,12,15,5
Physicist,13,19,14,17,5,12,19,8
Physicist,11,18,14,16,6,12,18,8
Physicist,14,17,14,20,7,12,17,8
Physicist,11,16,14,19,8,12,16,8
Physicist,13,19,14,18,9,12,15,8
Physicist,14,18,14,17,5,12,19,6
Physicist,13,17,14,16,6,12,18,7
Physicist,12,16,14,20,7,12,17,8
Physicist,13,19,14,19,8,12,16,9
Physicist,11,18,14,18,9,12,15,10
Physicist,14,17,14,17,5,13,19,5
Physicist,11,16,14,16,6,13,18,9
Physicist,13,19,14,20,7,13,17,9
Physicist,14,18,14,19,8,13,16,9
Physicist,13,17,14,18,9,13,15,9
Physicist,12,16,13,17,5,13,19,9
Physicist,13,19,13,16,6,13,18,9
Physicist,11,18,13,18,7,13,17,6
Physicist,14,17,13,19,8,13,16,7
Physicist,11,16,13,18,9,14,15,8
Physicist,13,19,13,17,5,14,19,9
Physicist,14,18,13,19,6,14,18,10
Physicist,13,17,13,18,7,14,17,5
Physicist,12,16,13,17,8,14,16,10
Physicist,13,18,13,16,9,14,15,10
Mathematician,12,5,8,17,18,13,6,7
Mathematician,13,5,9,17,18,12,7,6
Mathematician,11,5,10,17,18,13,5,7
Mathematician,14,6,5,17,18,11,8,8
Mathematician,14,8,8,17,18,12,9,9
Mathematician,12,9,8,17,18,13,6,10
Mathematician,13,10,7,17,18,11,7,5
Mathematician,11,5,7,17,18,12,5,7
Mathematician,14,5,7,17,18,13,8,7
Mathematician,12,6,8,17,18,11,9,7
Mathematician,12,8,8,17,18,14,6,7
Mathematician,13,9,8,17,18,13,7,7
Mathematician,11,10,6,17,18,13,5,8
Mathematician,14,5,7,17,18,13,8,8
Mathematician,12,5,7,17,18,12,9,6
Mathematician,12,6,7,17,18,13,6,7
Mathematician,12,6,8,17,18,11,7,8
Mathematician,12,6,8,18,18,14,5,9
Mathematician,13,5,8,18,18,11,8,10
Mathematician,11,5,9,18,18,11,9,5
Mathematician,14,5,10,18,18,12,6,8
Mathematician,13,8,5,18,18,13,7,8
Mathematician,13,9,8,18,18,11,5,8
Mathematician,13,10,8,18,18,14,8,6
Mathematician,12,5,8,18,19,11,9,7
Mathematician,13,7,9,18,19,11,6,8
Mathematician,11,8,10,18,19,11,7,9
Mathematician,14,9,5,18,19,11,5,10
Mathematician,13,10,8,18,19,12,8,5
Mathematician,13,5,8,16,19,13,9,9
Mathematician,13,5,8,16,19,11,6,6
Mathematician,13,5,7,16,19,14,7,7
Mathematician,12,6,7,16,19,13,5,8
Mathematician,13,7,7,16,19,13,8,9
Mathematician,11,8,8,16,19,13,9,10
Mathematician,14,9,8,16,19,13,6,5
Mathematician,13,10,8,16,19,12,7,7
Mathematician,14,5,7,16,19,13,5,8
Mathematician,14,5,7,16,19,11,8,9
Mathematician,14,6,7,16,19,14,9,10
Mathematician,12,7,8,16,20,13,6,5
Mathematician,13,8,8,16,20,13,7,9
Mathematician,11,9,8,15,20,13,5,10
Mathematician,14,10,9,15,20,13,8,10
Mathematician,14,5,10,15,20,12,9,6
Mathematician,14,8,5,15,20,13,6,7
Mathematician,12,9,8,15,20,12,7,8
Mathematician,13,10,9,15,20,13,5,9
Mathematician,11,5,10,15,20,11,8,10
Mathematician,14,5,5,15,20,14,9,5
Leader,11,9,11,16,5,20,18,7
Leader,12,9,12,16,6,19,18,7
Leader,12,6,13,16,7,18,18,6
Leader,11,6,14,16,7,17,18,7
Leader,14,6,14,15,8,16,18,8
Leader,13,6,13,15,8,15,18,9
Leader,11,6,12,15,5,19,18,10
Leader,12,6,11,15,6,18,18,5
Leader,12,6,11,15,7,17,18,7
Leader,11,6,12,17,7,16,18,7
Leader,14,6,13,17,8,15,18,7
Leader,13,6,14,17,8,19,18,7
Leader,11,6,14,17,5,18,19,8
Leader,12,6,13,17,6,17,19,8
Leader,12,6,12,17,7,16,19,8
Leader,11,6,11,20,7,15,19,6
Leader,14,6,11,20,8,19,19,7
Leader,13,6,12,20,8,18,19,8
Leader,11,6,13,20,5,17,19,9
Leader,12,6,14,20,6,16,19,10
Leader,12,6,14,17,7,15,19,5
Leader,11,6,13,17,7,19,19,8
Leader,14,6,12,17,8,18,19,8
Leader,13,6,11,17,8,17,19,8
Leader,11,8,11,17,5,16,19,8
Leader,12,9,12,17,6,15,19,8
Leader,12,10,13,17,7,19,19,8
Leader,11,5,14,17,7,18,19,6
Leader,14,8,14,18,8,17,17,7
Leader,13,9,13,18,8,16,17,8
Leader,11,10,12,18,5,15,17,9
Leader,12,5,11,18,6,19,17,10
Leader,12,8,11,18,7,18,17,5
Leader,11,9,12,18,7,17,17,9
Leader,14,10,13,15,8,16,17,9
Leader,13,5,14,15,5,15,17,9
Leader,11,5,14,15,6,19,17,9
Leader,12,8,13,15,7,18,17,9
Leader,12,9,12,15,7,17,17,9
Leader,11,10,11,15,8,16,17,9
Leader,14,5,11,15,8,15,17,6
Leader,13,5,12,19,5,19,17,7
Leader,11,5,13,19,6,18,17,8
Leader,12,6,14,19,7,17,17,9
Leader,12,7,14,19,7,16,17,10
Leader,11,8,13,19,8,15,16,5
Leader,14,9,12,19,8,19,16,10
Leader,13,10,11,19,9,18,16,10
Leader,12,5,13,19,9,17,16,10
Leader,13,8,12,19,9,16,16,10
Manager,11,6,12,15,18,17,18,5
Manager,12,7,12,16,18,18,17,6
Manager,12,8,13,17,18,17,16,7
Manager,11,9,13,18,18,16,15,8
Manager,14,10,13,19,18,15,18,8
Manager,13,5,14,20,18,15,17,9
Manager,11,7,14,20,18,18,16,7
Manager,12,7,14,19,18,17,15,5
Manager,12,6,12,18,18,16,18,5
Manager,11,7,12,17,18,15,17,6
Manager,14,8,13,16,18,15,16,7
Manager,13,9,13,15,18,18,15,8
Manager,11,10,13,15,17,17,18,8
Manager,12,5,14,16,16,16,17,9
Manager,12,7,14,17,15,15,16,7
Manager,11,7,14,18,15,15,15,5
Manager,14,7,12,19,18,18,18,5
Manager,13,6,12,20,17,17,17,6
Manager,11,7,13,20,16,16,16,7
Manager,12,6,13,19,15,15,15,8
Manager,12,7,13,18,15,15,18,8
Manager,11,8,14,17,18,18,17,9
Manager,14,9,14,16,17,17,16,7
Manager,13,10,14,15,16,16,15,5
Manager,11,5,12,15,15,15,18,5
Manager,12,7,12,16,15,15,17,6
Manager,12,7,13,17,18,18,16,7
Manager,11,7,13,18,17,17,15,8
Manager,14,7,13,19,16,16,18,8
Manager,13,6,14,20,15,15,17,9
Manager,11,7,14,20,15,15,16,7
Manager,12,8,14,19,18,18,15,5
Manager,12,9,12,18,17,17,18,5
Manager,11,10,12,17,16,16,17,6
Manager,14,5,13,16,15,15,16,7
Manager,13,7,13,15,15,15,15,8
Manager,11,7,13,15,18,18,18,8
Manager,12,7,14,16,17,17,17,9
Manager,12,7,14,17,16,16,16,7
Manager,11,7,14,18,15,15,15,5
Manager,14,7,12,19,15,15,18,5
Manager,13,6,12,20,15,18,17,6
Manager,11,7,13,20,18,17,16,7
Manager,12,8,13,19,17,16,15,8
Manager,12,9,13,18,16,15,18,8
Manager,11,10,14,17,15,18,17,9
Manager,14,5,14,16,15,17,16,7
Manager,13,7,14,15,16,16,15,5
Manager,12,7,13,20,16,15,19,9
Manager,13,7,14,19,16,15,18,9
Politician,12,5,11,19,6,20,17,5
Politician,12,5,12,19,6,19,17,5
Politician,13,6,12,19,6,18,17,5
Politician,13,6,11,19,6,17,17,6
Politician,13,7,14,19,6,16,17,6
Politician,14,7,13,19,6,15,17,6
Politician,14,8,11,19,6,19,17,5
Politician,14,8,12,19,6,18,17,5
Politician,12,9,12,19,6,17,17,5
Politician,12,9,11,19,7,16,17,6
Politician,13,10,14,19,8,15,17,6
Politician,13,10,13,19,9,19,17,6
Politician,13,5,11,19,10,18,17,5
Politician,14,5,12,19,5,17,17,5
Politician,14,6,12,19,8,16,17,5
Politician,14,6,11,19,9,15,17,6
Politician,12,7,14,19,10,19,17,6
Politician,12,7,13,19,5,18,17,6
Politician,13,8,11,19,5,17,17,5
Politician,13,8,12,19,5,16,17,5
Politician,13,9,12,19,5,15,17,5
Politician,14,9,11,19,6,19,17,6
Politician,14,10,14,19,7,18,17,6
Politician,14,10,13,19,8,17,17,6
Politician,12,5,11,19,9,16,18,5
Politician,12,5,12,19,10,15,18,5
Politician,13,6,12,19,5,19,18,5
Politician,13,6,11,19,7,18,18,6
Politician,13,7,14,19,7,17,18,6
Politician,14,7,13,19,7,16,18,6
Politician,14,8,11,19,7,15,18,5
Politician,14,8,12,19,6,19,18,5
Politician,12,9,12,19,7,18,18,5
Politician,12,9,11,19,8,17,18,6
Politician,13,10,14,19,9,16,18,6
Politician,13,10,13,19,10,15,18,6
Politician,13,5,12,19,5,19,18,5
Politician,14,5,13,19,8,18,18,5
Politician,14,6,12,19,8,17,15,5
Politician,14,6,12,19,8,16,16,6
Politician,12,7,12,19,8,15,18,6
Politician,12,7,12,19,8,19,19,6
Politician,13,8,12,19,6,18,16,5
Politician,13,8,12,19,7,17,20,5
Politician,13,9,12,19,8,16,19,5
Politician,14,9,12,19,9,15,17,6
Politician,14,10,12,19,10,19,15,6
Politician,14,10,12,19,5,18,16,6
Politician,13,7,12,19,8,17,20,5
Politician,14,7,12,19,8,16,17,5
Social Worker,11,5,20,6,12,19,18,7
Social Worker,11,5,20,7,12,19,18,7
Social Worker,11,5,20,8,12,19,18,7
Social Worker,11,5,20,9,12,19,18,7
Social Worker,11,6,20,10,12,19,18,7
Social Worker,11,7,20,5,12,19,18,7
Social Worker,11,8,20,6,12,19,18,7
Social Worker,11,9,20,6,12,19,18,7
Social Worker,11,10,20,6,12,19,18,7
Social Worker,11,5,20,6,12,19,18,7
Social Worker,11,5,20,6,12,19,18,7
Social Worker,11,5,20,6,12,19,18,7
Social Worker,11,5,20,7,12,19,18,7
Social Worker,11,6,20,8,12,19,18,7
Social Worker,11,7,20,9,14,19,18,7
Social Worker,11,8,20,10,14,19,18,7
Social Worker,11,9,20,5,14,19,18,7
Social Worker,12,10,20,8,14,18,17,7
Social Worker,12,5,20,8,14,18,17,8
Social Worker,12,6,20,6,14,18,17,9
Social Worker,12,6,19,7,14,18,17,10
Social Worker,12,6,19,8,14,18,17,5
Social Worker,12,7,19,9,14,18,17,8
Social Worker,12,8,19,10,14,18,17,8
Social Worker,12,9,19,5,13,16,19,7
